title,original_language,release_year,release_month,runtime,genre,averageRating,budget,revenue,agg_profit,norm_revenue
Traffik,en,2018,4,96,"Action,Thriller",5.9,4000000.0,9561231.0,5561231.0,1912246.2
Truth or Dare,en,2018,4,77,"Drama,Family",5.2,3500000.0,95292744.0,91792744.0,19058548.8
Babe,en,2018,4,80,"Adult,Romance",6.1,30000000.0,246100000.0,216100000.0,49220000.0
A Quiet Place,en,2018,4,80,Documentary,7.1,17000000.0,334876670.0,317876670.0,66975334.0
The Strangers: Prey at Night,en,2018,3,85,Horror,5.3,5000000.0,32144262.0,27144262.0,6428852.4
Annihilation,en,2018,2,115,"Adventure,Drama,Horror",6.8,55000000.0,43070915.0,-11929085.0,8614183.0
Unsane,en,2018,2,98,"Drama,Horror,Mystery",6.4,1500000.0,14296709.0,12796709.0,2859341.8
Winchester,en,2018,2,99,"Biography,Fantasy,Horror",5.4,3500000.0,45960255.0,42460255.0,9192051.0
Insidious: The Last Key,en,2018,1,103,"Horror,Mystery,Thriller",5.7,10000000.0,172811971.0,162811971.0,34562394.2
The Proposal,en,2018,1,91,"Drama,Thriller",5.3,40000000.0,314709717.0,274709717.0,62941943.4
Let Me In,en,2017,12,116,"Drama,Fantasy,Horror",7.1,20000000.0,28270399.0,8270399.0,4711733.166666667
The Book of Life,en,2017,12,63,"Comedy,Fantasy",6.5,50000000.0,97651543.0,47651543.0,16275257.166666666
Corpus Christi,es,2017,12,\N,"Action,Drama",2.8,1300000.0,10951283.0,9651283.0,1825213.8333333333
Immortals,fr,2017,12,110,"Action,Drama,Fantasy",6.0,75000000.0,211562435.0,136562435.0,35260405.833333336
Tarnation,en,2017,11,88,"Biography,Documentary",7.1,400000.0,1162014.0,762014.0,193669.0
Jigsaw,en,2017,10,72,"Crime,Drama,Film-Noir",5.6,10000000.0,104223315.0,94223315.0,17370552.5
Beyond Skyline,en,2017,10,106,"Action,Adventure,Horror",5.3,20000000.0,1012368.0,-18987632.0,168728.0
Anna,en,2017,10,108,"Crime,Drama",7.1,30000000.0,32825217.0,2825217.0,5470869.5
Happy Death Day,en,2017,10,\N,Thriller,5.8,5000000.0,125010260.0,120010260.0,20835043.333333332
The Snowman,en,2017,10,\N,Documentary,6.9,35000000.0,43164679.0,8164679.0,7194113.166666667
Knock Knock,en,2017,10,92,Horror,3.1,2000000.0,6328516.0,4328516.0,1054752.6666666667
Red Eye,en,2017,10,85,Thriller,6.5,26000000.0,96666486.0,70666486.0,16111081.0
Emma,en,2017,9,72,Drama,6.9,5900000.0,37831658.0,31931658.0,6305276.333333333
Flatliners,en,2017,9,115,"Drama,Horror,Sci-Fi",6.6,26000000.0,61308153.0,35308153.0,10218025.5
Unhinged,en,2017,9,79,Horror,4.9,33000000.0,37339104.0,4339104.0,6223184.0
Ravenous,fr,2017,9,101,"Adventure,Drama,Horror",6.9,12000000.0,2062406.0,-9937594.0,343734.3333333333
mother!,en,2017,9,,,,30000000.0,44516999.0,14516999.0,7419499.833333333
The Promise,th,2017,9,97,"Drama,Romance",6.4,90000000.0,10551417.0,-79448583.0,1758569.5
